"Looping Opportunities  ·  yieldz.io/leverage, 5 Sep 2026  ·  180 positive-carry loops",,,,,,,,,,,,,,
Asset,Protocol,Chain,Deposit,Borrow,Max Leverage,Max ROE,Deposit APY,Borrow APY,Risk,Liquidity ($),To-Target Util ($),Utilization (%),LLTV (%),Risk Note
ETH,Venus Flux,BNB Chain,wBETH,ETH,12.5,14.805,2.27,-1.18,High,95250,79910,88.76,92,score 0.5; wBETH unrated 3.0; ETH 8.4; -1.5 leverage 12.5x; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Ethereum,savETH,WETH,11.77,21.2804,4.91,-3.39,High,645560,233950,84.32,91.5,score 1.5; savETH 4.0; WETH 9.0*; Morpho 6.5†; -1.5 leverage 11.77x; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Katana,weETH,vbETH,11.73,5.519,2.3,-2,High,626660,1545.2,89.98,91.5,score 0.5; weETH 7.0; vbETH unrated 3.0; Morpho 6.5†; -1.5 leverage 11.73x; -1 exit liquidity <1M; yieldz label: Med.
ETH,Morpho,Base,weETH,WETH,11.67,4.8608,2.3,-2.06,Med-High,57180,803.72,89.86,91.5,score 4.0; weETH 7.0; WETH 9.0*; Morpho 6.5†; -1.5 leverage 11.67x; -1 exit liquidity <1M; yieldz label: Med.
ETH,Fluid,weETHs,W,wstETH,11.11,7.4306,2.78,-2.32,High,376430,142490000,86.41,91,score 0.5; W unrated 3.0; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 11.11x; -1 exit liquidity <1M; yieldz label: Low
ETH,Fluid,weETHs-ETH,W,wstETH,10.96,4.8408,2.55,-2.32,High,711110,142490000,88.75,91,score 0.5; W unrated 3.0; wstETH 8.5*; Fluid 8.0†; -1.5 leverage 10.96x; -1 exit liquidity <1M; yieldz label: Low
USD,Morpho,Ethereum,PT-trUSD-26NOV2026,USDC,18.2,75.916,10.04,-6.21,High,229860,4677.27,90.2,94.5,score 1.4; PT-trUSD-26NOV2026→trUSD 4.4; USDC 9.0; Morpho 6.5†; -1.5 leverage 18.2x; -0.5 lltv 94%; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,wsrUSD,USDC,18.1,13.911,5.19,-4.68,High,1450000,37250,89.74,94.5,score 0.5; wsrUSD 1.9; USDC 9.0; Morpho 6.5†; -1.5 leverage 18.1x; -0.5 lltv 94%; yieldz label: Med.
USD,Aave V4 · USDG Pendle,Ethereum,PT-USDG-24SEP2026,USDC,16.7,20.155,3.67,-2.62,Med-High,2030000,1620000,60.21,94,score 5.4; PT-USDG-24SEP2026→USDG 6.9; USDC 9.0; Aave V4 · USDG Pendle 8.5†; -1.5 leverage 16.7x; yieldz label: Low
USD,Aave V3,Plasma,GHO,USDT0,16.66,47.0396,6.95,-4.39,High,37640000,2030000,94.31,94,score 3.7; GHO 6.2; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 16.66x; -1 util 94%; yieldz label: Med.
USD,Aave V4 · USDG Pendle,Ethereum,PT-USDG-24SEP2026,USDG,16.66,8.2114,3.67,-3.38,Med-High,9630000,8580000,76.08,94,score 5.4; PT-USDG-24SEP2026→USDG 6.9; USDG 7.4; Aave V4 · USDG Pendle 8.5†; -1.5 leverage 16.66x; yieldz label: Med.
USD,Aave V3,Monad,PT-AUSD-8OCT2026,USDe,14.37,23.6921,5.91,-4.58,Med-High,68240000,58030000,33.16,93,score 4.5; PT-AUSD-8OCT2026→AUSD 6.0; USDe 6.8; Aave V3 8.5†; -1.5 leverage 14.37x; yieldz label: Low
USD,Aave V3,Monad,PT-AUSD-8OCT2026,USDT0,14.36,24.7476,5.91,-4.5,High,4580000,77140,92.13,93,score 3.5; PT-AUSD-8OCT2026→AUSD 6.0; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 14.36x; -1 util 92%; yieldz label: Med.
USD,Aave V4 · Ethena Ecosystem,Ethereum,USDe,USDC,14.31,30.0135,5.39,-3.54,Med-High,821810,582880,72.36,93,score 4.3; USDe 6.8; USDC 9.0; Aave V4 · Ethena Ecosystem 8.5†; -1.5 leverage 14.31x; -1 exit liquidity <1M; yieldz label: Low
USD,Aave V3,Monad,PT-AUSD-8OCT2026,GHO,14.29,36.2112,5.91,-3.63,Med-High,5690000,3150000,82.1,93,score 4.5; PT-AUSD-8OCT2026→AUSD 6.0; GHO 6.2; Aave V3 8.5†; -1.5 leverage 14.29x; yieldz label: Low
USD,Aave V4 · Ethena Ecosystem,Ethereum,USDe,USDT,14.28,28.7628,5.39,-3.63,Med-High,761250,523600,74.28,93,score 4.3; USDe 6.8; USDT 8.0; Aave V4 · Ethena Ecosystem 8.5†; -1.5 leverage 14.28x; -1 exit liquidity <1M; yieldz label: Low
USD,Aave V3,Monad,PT-AUSD-8OCT2026,USDC,14.28,26.2284,5.91,-4.38,Med-High,13790000,270140,91.84,93,score 4.5; PT-AUSD-8OCT2026→AUSD 6.0; USDC 9.0; Aave V3 8.5†; -1.5 leverage 14.28x; yieldz label: Low
USD,Aave V4 · Maple SyrupUSDG,Ethereum,syrupUSDG,USDG,13,5.76,4.92,-4.85,High,3210000,0,90.27,92,score 1.5; syrupUSDG unrated 3.0; USDG 7.4; Aave V4 · Maple SyrupUSDG 8.5†; -1.5 leverage 13x; yieldz label: Med.
USD,Fluid,Plasma,sUSDe,GHO,12.86,5.5502,4.72,-4.65,Med-High,1020000,1360000,51.78,92,score 4.7; sUSDe 6.6; GHO 6.2; Fluid 8.0†; -1.5 leverage 12.86x; yieldz label: Med.
USD,Fluid,Ethereum,sUSDe-USDT,USDC-USDT,12.67,8.6107,6.16,-5.95,High,2530000,31410000,0.29,92,score 1.5; sUSDe-USDT unrated 3.0; USDC-USDT unrated 3.0; Fluid 8.0†; -1.5 leverage 12.67x; yieldz label: Med.
USD,Aave V4 · Ethena Ecosystem,Ethereum,sUSDe,USDC,12.55,18.349,4.72,-3.54,Med-High,821810,582880,72.36,92,score 4.1; sUSDe 6.6; USDC 9.0; Aave V4 · Ethena Ecosystem 8.5†; -1.5 leverage 12.55x; -1 exit liquidity <1M; yieldz label: Low
USD,Aave V4 · Ethena Ecosystem,Ethereum,sUSDe,USDT,12.51,17.2659,4.72,-3.63,Med-High,761250,523600,74.28,92,score 4.1; sUSDe 6.6; USDT 8.0; Aave V4 · Ethena Ecosystem 8.5†; -1.5 leverage 12.51x; -1 exit liquidity <1M; yieldz label: Low
USD,Fluid,Ethereum,GHO-USDC,GHO-USDC,12.5,29.34,6.11,-4.09,High,1000000,26830000,90.68,92,score 1.5; GHO-USDC unrated 3.0; GHO-USDC unrated 3.0; Fluid 8.0†; -1.5 leverage 12.5x; yieldz label: Low
USD,Fluid,Ethereum,GHO-sUSDe,GHO-USDC,12.47,25.0172,4.83,-3.07,High,525250,26830000,87.75,92,score 0.5; GHO-sUSDe unrated 3.0; GHO-USDC unrated 3.0; Fluid 8.0†; -1.5 leverage 12.47x; -1 exit liquidity <1M; yieldz label: Low
USD,Fluid,Ethereum,sUSDe-USDT,USDC-USDT,12.17,7.5004,6.16,-6.04,High,2200000,31410000,87.65,92,score 1.5; sUSDe-USDT unrated 3.0; USDC-USDT unrated 3.0; Fluid 8.0†; -1.5 leverage 12.17x; yieldz label: Med.
USD,Aave V3,Ethereum,sUSDe,USDe,12.17,5.3902,4.72,-4.66,Med-High,342680000,278310000,46.76,92,score 5.1; sUSDe 6.6; USDe 6.8; Aave V3 8.5†; -1.5 leverage 12.17x; yieldz label: Low
USD,Aave V3,Ethereum,PT-srUSDe-22OCT2026,USDe,12.15,12.922,5.34,-4.66,Med-High,342680000,278310000,46.76,91.86,score 4.7; PT-srUSDe-22OCT2026→srUSDe 6.2; USDe 6.8; Aave V3 8.5†; -1.5 leverage 12.15x; yieldz label: Low
USD,Morpho,Ethereum,syrupUSDC,PYUSD,12.04,7.9608,4.98,-4.71,Med-High,7140000,17640,90.02,91.5,score 5.0; syrupUSDC 7.1; PYUSD 7.8; Morpho 6.5†; -1.5 leverage 12.04x; yieldz label: Med.
USD,Morpho,Ethereum,syrupUSDC,RLUSD,11.9,11.302,4.98,-4.4,Med-High,1090000,65580,89.36,91.5,score 5.0; syrupUSDC 7.1; RLUSD 8.1; Morpho 6.5†; -1.5 leverage 11.9x; yieldz label: Med.
USD,Morpho,Ethereum,siUSD,USDC,11.85,13.867,7.14,-6.52,High,1170000,433960,84.11,91.5,score 1.5; siUSD unrated 3.0; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.85x; yieldz label: Low
USD,Morpho,Robinhood Chain,spUSDG,USDG,11.84,12.8224,3.5,-2.64,High,2880000,279120,88.93,91.5,score 1.5; spUSDG unrated 3.0; USDG 7.4; Morpho 6.5†; -1.5 leverage 11.84x; yieldz label: Med.
USD,Morpho,Ethereum,PT-sUSDS-26NOV2026,USDC,11.83,6.6794,4.73,-4.55,Med-High,1670000,0.54,90,91.5,score 5.0; PT-sUSDS-26NOV2026→sUSDS 7.1; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.83x; yieldz label: Med.
USD,Morpho,Monad,PT-earnAUSD-8OCT2026,USDC,11.82,27.4658,9.18,-7.49,High,467260,41420,90.81,91.5,score 0.5; PT-earnAUSD-8OCT2026 unrated 3.0; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.82x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Robinhood Chain,USDe,USDG,11.82,11.8912,4.75,-4.09,Med-High,30240000,693140,90.22,91.5,score 5.0; USDe 6.8; USDG 7.4; Morpho 6.5†; -1.5 leverage 11.82x; yieldz label: Med.
USD,Morpho,Ethereum,PT-USDat-14JAN2027,USDC,11.81,22.6812,6.25,-4.73,High,88380,21840,91.98,91.5,score 2.6; PT-USDat-14JAN2027→USDat 5.1; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.81x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Monad,PT-AUSD-8OCT2026,mUSD,11.8,27.51,5.91,-3.91,Med-High,1000000,35550,89.63,91.5,score 4.2; PT-AUSD-8OCT2026→AUSD 6.0; mUSD 5.7; Morpho 6.5†; -1.5 leverage 11.8x; yieldz label: Med.
USD,Lista,BNB Chain,PT-sUSDai-15OCT2026-(ARB),USDT,11.79,39.454,11.4,-8.8,High,208660,24190,91.04,91.5,score 2.5; PT-sUSDai-15OCT2026-(ARB)→sUSDai 5.0; USDT 8.0; -1.5 leverage 11.79x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Monad,PT-AUSD-8OCT2026,USDC,11.79,24.7925,5.91,-4.16,Med-High,1210000,404940,85,91.5,score 4.5; PT-AUSD-8OCT2026→AUSD 6.0; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.79x; yieldz label: Low
USD,Morpho,Ethereum,PT-sUSDS-26NOV2026,USDS,11.79,17.4622,4.73,-3.55,Med-High,246110,821.62,89.97,91.5,score 4.0; PT-sUSDS-26NOV2026→sUSDS 7.1; USDS 8.3; Morpho 6.5†; -1.5 leverage 11.79x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Arbitrum,PT-USDai-15OCT2026,USDC,11.78,37.8472,8.31,-5.57,High,316790,78170,86.72,91.5,score 3.2; PT-USDai-15OCT2026→USDai 5.7; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.78x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,syrupUSDC,AUSD,11.78,12.2026,4.98,-4.31,High,414150,99530,86.84,91.5,score 4.0; syrupUSDC 7.1; AUSD 6.5; Morpho 6.5†; -1.5 leverage 11.78x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Monad,PT-srUSDat-14JAN2027,USDC,11.77,53.65,10.57,-6.57,High,54560,2323.39,90.41,91.5,score 0.5; PT-srUSDat-14JAN2027 unrated 3.0; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.77x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,savUSD,USDC,11.77,35.6557,9.7,-7.29,High,685770,321.5,90,91.5,score 2.4; savUSD 4.9; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.77x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,srRoyUSDC,USDC,11.76,179.046,21.95,-7.35,High,424710,233770,77.76,91.5,score 0.9; srRoyUSDC 3.4; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.76x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,siUSD,msUSD,11.76,63.7376,7.14,-1.88,High,189680,1.33,90,91.5,score 0.5; siUSD unrated 3.0; msUSD 0.5; Morpho 6.5†; -1.5 leverage 11.76x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,PT-reUSD-10DEC2026,USDC,11.76,48.1096,10.88,-7.42,High,15400000,6260000,83.15,91.5,score 3.1; PT-reUSD-10DEC2026→reUSD 4.6; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.76x; yieldz label: Low
USD,Morpho,Ethereum,PT-reUSD-10DEC2026,USDT,11.75,53.9875,10.88,-6.87,High,1220000,415110,84.85,91.5,score 3.1; PT-reUSD-10DEC2026→reUSD 4.6; USDT 8.0; Morpho 6.5†; -1.5 leverage 11.75x; yieldz label: Low
USD,Morpho,Monad,PT-USDat-14JAN2027,USDC,11.75,18.35,6.31,-5.19,High,1440000,239330,88,91.5,score 3.6; PT-USDat-14JAN2027→USDat 5.1; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.75x; yieldz label: Med.
USD,Morpho,Ethereum,PT-USDG-24SEP2026,USDC,11.73,21.911,3.67,-1.97,Med-High,386400,43.39,90,91.5,score 4.0; PT-USDG-24SEP2026→USDG 6.9; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.73x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Ethereum,PT-sUSDE-26NOV2026,USDC,11.73,17.8833,4.9,-3.69,High,350680,34680,90.9,91.5,score 3.6; PT-sUSDE-26NOV2026→sUSDE 6.1; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.73x; -1 exit liquidity <1M; yieldz label: Med.
USD,Morpho,Base,USDe,USDC,11.72,12.4684,4.75,-4.03,Med-High,33880000,94130,90.03,91.5,score 5.0; USDe 6.8; USDC 9.0; Morpho 6.5†; -1.5 leverage 11.72x; yieldz label: Med.
USD,Morpho,Ethereum,sUSDe,PYUSD,11.71,16.2768,4.71,-3.63,Med-High,11270000,2480000,87.18,91.5,score 5.0; sUSDe 6.6; PYUSD 7.8; Morpho 6.5†; -1.5 leverage 11.71x; yieldz label: Low
USD,Morpho,Robinhood Chain,syrupUSDG,USDG,11.7,13.4,4.84,-4.04,High,9240000,39260,90.04,91.5,score 1.5; syrupUSDG unrated 3.0; USDG 7.4; Morpho 6.5†; -1.5 leverage 11.7x; yieldz label: Med.
USD,Morpho,Ethereum,reUSD,USDT,11.65,11.789,6.89,-6.43,High,300130,24460,90.75,91.5,score 2.6; reUSD 5.1; USDT 8.0; Morpho 6.5†; -1.5 leverage 11.65x; -1 exit liquidity <1M; yieldz label: Med.
USD,Flexmeow,Ethereum,ysyBOLD,USDC,11.01,71.1264,14.67,-9.03,High,200050,,100,90.91,score 0.5; ysyBOLD unrated 3.0; USDC 9.0; -1.5 leverage 11.01x; -1 util 100%; -1 exit liquidity <1M; yieldz label: High
USD,Flexmeow,Ethereum,yvcrvUSD-2,USDC,11,40.54,7.54,-4.24,High,99990,,100,90.91,score 0.5; yvcrvUSD-2 unrated 3.0; USDC 9.0; -1.5 leverage 11x; -1 util 100%; -1 exit liquidity <1M; yieldz label: High
USD,Flexmeow,Ethereum,yvUSD,USDC,10.96,18.2108,5.96,-4.73,Med-High,600770,,100,90.91,score 4.5; yvUSD 8.0; USDC 9.0; -1.5 leverage 10.96x; -1 util 100%; -1 exit liquidity <1M; yieldz label: Med.
USD,Aave V3,Base,syrupUSDC,USDC,10.75,5.79,5.01,-4.93,Med-High,17830000,379620,90.21,90,score 5.6; syrupUSDC 7.1; USDC 9.0; Aave V3 8.5†; -1.5 leverage 10.75x; yieldz label: Med.
USD,Aave V3,Plasma,PT-sUSDE-22OCT2026,USDe,10.6,11.61,5.37,-4.72,Med-High,264600000,204160000,34.33,90.65,score 4.6; PT-sUSDE-22OCT2026→sUSDE 6.1; USDe 6.8; Aave V3 8.5†; -1.5 leverage 10.6x; yieldz label: Low
USD,Aave V3,Monad,sUSDe,USDT0,10.32,6.7704,4.72,-4.5,Med-High,4580000,77140,92.13,90,score 4.1; sUSDe 6.6; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 10.32x; -1 util 92%; yieldz label: Med.
USD,Aave V3,Plasma,sUSDe,USDT0,10.21,7.7593,4.72,-4.39,Med-High,37640000,2030000,94.31,90.1,score 4.1; sUSDe 6.6; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 10.21x; -1 util 94%; yieldz label: Med.
USD,Aave V3,Monad,syrupUSDC,USDT0,10.14,9.6714,5.01,-4.5,Med-High,4580000,77140,92.13,90,score 4.6; syrupUSDC 7.1; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 10.14x; -1 util 92%; yieldz label: Med.
USD,Aave V3,Plasma,sUSDe-USDe,USDT0,10.12,7.7296,4.72,-4.39,High,37640000,2030000,94.31,90,score 0.5; sUSDe-USDe unrated 3.0; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 10.12x; -1 util 94%; yieldz label: Med.
USD,Aave V3,Plasma,sUSDe,GHO,10.11,19.5693,4.72,-3.09,Med-High,5390000,4070000,67.44,90.1,score 4.7; sUSDe 6.6; GHO 6.2; Aave V3 8.5†; -1.5 leverage 10.11x; yieldz label: Med.
USD,Aave V4 · Forex,Ethereum,USDC,USDC,10.1,13.803,6.25,-5.42,Med-High,920320,0,93.45,90,score 5.0; USDC 9.0; USDC 9.0; Aave V4 · Forex 8.5†; -1.5 leverage 10.1x; -1 util 93%; -1 exit liquidity <1M; yieldz label: Med.
USD,Aave V3,Ethereum,sUSDe,USDC,10.09,7.9015,4.72,-4.37,Med-High,150050000,11990000,93.48,90,score 4.1; sUSDe 6.6; USDC 9.0; Aave V3 8.5†; -1.5 leverage 10.09x; -1 util 93%; yieldz label: Low
USD,Aave V3,Ethereum,sUSDe-USDe,USDC,10.09,7.9015,4.72,-4.37,High,150050000,11990000,93.48,90,score 0.5; sUSDe-USDe unrated 3.0; USDC 9.0; Aave V3 8.5†; -1.5 leverage 10.09x; -1 util 93%; yieldz label: Low
USD,Aave V3,Mantle,sUSDe,USDT0,10.05,11.598,4.72,-3.96,Med-High,18990000,3980000,87.35,90,score 5.1; sUSDe 6.6; USDT0 8.0; Aave V3 8.5†; -1.5 leverage 10.05x; yieldz label: Low
USD,Aave V3,Mantle,sUSDe,USDC,10.04,15.116,4.72,-3.57,Med-High,1770000,934430,78.85,90,score 5.1; sUSDe 6.6; USDC 9.0; Aave V3 8.5†; -1.5 leverage 10.04x; yieldz label: Low
USD,Aave V3,Mantle,sUSDe,GHO,10.03,21.4255,4.72,-2.87,Med-High,1230000,1070000,24.77,90,score 4.7; sUSDe 6.6; GHO 6.2; Aave V3 8.5†; -1.5 leverage 10.03x; yieldz label: Med.
USD,Venus Flux,BNB Chain,USDT-syrupUSDT,USDT,10.03,9.8201,3.77,-3.1,High,406940,273980,53.74,90,score 0.5; USDT-syrupUSDT unrated 3.0; USDT 8.0; -1.5 leverage 10.03x; -1 exit liquidity <1M; yieldz label: Med.
USD,Aave V4 · Forex,Ethereum,USDC,USDG,10.02,32.1374,6.25,-3.38,Med-High,364040,364040,76.08,90,score 4.9; USDC 9.0; USDG 7.4; Aave V4 · Forex 8.5†; -1.5 leverage 10.02x; -1 exit liquidity <1M; yieldz label: Med.
USD,Venus Flux,BNB Chain,syrupUSDT,USDT-USDC,10.01,22.5597,4.81,-2.84,High,7600000,303850,89.2,90,score 1.5; syrupUSDT 6.0; USDT-USDC unrated 3.0; -1.5 leverage 10.01x; yieldz label: Med.
USD,Aave V3,Mantle,syrupUSDT,GHO,10.01,22.2894,4.81,-2.87,Med-High,1230000,1070000,24.77,90,score 4.5; syrupUSDT 6.0; GHO 6.2; Aave V3 8.5†; -1.5 leverage 10.01x; yieldz label: Med.
USD,Aave V3,Plasma,sUSDe-USDe,GHO,10.01,19.4063,4.72,-3.09,High,5390000,4070000,67.44,90,score 1.5; sUSDe-USDe unrated 3.0; GHO 6.2; Aave V3 8.5†; -1.5 leverage 10.01x; yieldz label: Med.
USD,Euler,Monad,PT-USDat-14JAN2027,USDC,10.01,16.5814,6.31,-5.17,High,1380000,475250,84.74,90,score 3.6; PT-USDat-14JAN2027→USDat 5.1; USDC 9.0; Euler 6.5†; -1.5 leverage 10.01x; yieldz label: Low
